,Dive_Site,Date,Day_of_Week,Time,Event,Current_Speed_(knots),Height (cm),Height (ft),Current_Station_Name,Current_Station_ID,Tide_Station_Name,Tide_Station_ID,Latitude,Longitude,Moon Illuminated
8918,Alki,7/15/24,Monday,18:48:00, slack,0,,,HARBOR ISLAND WEST,PUG2969,,,47.5887069,-122.3800092,0.63
8953,Alki,7/16/24,Tuesday,0:12:00, slack,0,,,HARBOR ISLAND WEST,PUG2970,,,47.5887069,-122.3800092,0.72
8954,Alki,7/16/24,Tuesday,0:20:00,High,,315,10.32,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.72
8955,Alki,7/16/24,Tuesday,5:48:00, ebb,-0.6,,,HARBOR ISLAND WEST,PUG2971,,,47.5887069,-122.3800092,0.72
8956,Alki,7/16/24,Tuesday,7:50:00,Low,,16,0.53,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.72
8957,Alki,7/16/24,Tuesday,9:48:00, slack,0,,,HARBOR ISLAND WEST,PUG2972,,,47.5887069,-122.3800092,0.72
8958,Alki,7/16/24,Tuesday,12:00:00, flood,0.2,,,HARBOR ISLAND WEST,PUG2973,,,47.5887069,-122.3800092,0.72
8959,Alki,7/16/24,Tuesday,16:10:00,High,,279,9.15,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.72
8960,Alki,7/16/24,Tuesday,16:36:00, slack,0,,,HARBOR ISLAND WEST,PUG2974,,,47.5887069,-122.3800092,0.72
8961,Alki,7/16/24,Tuesday,19:30:00, slack,0,,,HARBOR ISLAND WEST,PUG2975,,,47.5887069,-122.3800092,0.72
8962,Alki,7/16/24,Tuesday,20:00:00,Low,,251,8.23,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.72
8996,Alki,7/17/24,Wednesday,0:42:00, slack,0,,,HARBOR ISLAND WEST,PUG2976,,,47.5887069,-122.3800092,0.81
8997,Alki,7/17/24,Wednesday,1:00:00,High,,308,10.12,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.81
8998,Alki,7/17/24,Wednesday,6:42:00, ebb,-0.6,,,HARBOR ISLAND WEST,PUG2977,,,47.5887069,-122.3800092,0.81
8999,Alki,7/17/24,Wednesday,8:35:00,Low,,-12,-0.39,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.81
9000,Alki,7/17/24,Wednesday,10:18:00, slack,0,,,HARBOR ISLAND WEST,PUG2978,,,47.5887069,-122.3800092,0.81
9001,Alki,7/17/24,Wednesday,12:42:00, flood,0.2,,,HARBOR ISLAND WEST,PUG2979,,,47.5887069,-122.3800092,0.81
9002,Alki,7/17/24,Wednesday,17:02:00,High,,307,10.07,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.81
9003,Alki,7/17/24,Wednesday,17:12:00, slack,0,,,HARBOR ISLAND WEST,PUG2980,,,47.5887069,-122.3800092,0.81
9004,Alki,7/17/24,Wednesday,20:24:00, slack,0,,,HARBOR ISLAND WEST,PUG2981,,,47.5887069,-122.3800092,0.81
9005,Alki,7/17/24,Wednesday,21:24:00,Low,,261,8.57,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.81
9006,Alki,7/17/24,Wednesday,22:12:00, flood,0.1,,,HARBOR ISLAND WEST,PUG2982,,,47.5887069,-122.3800092,0.81
9039,Alki,7/18/24,Thursday,1:24:00, slack,0,,,HARBOR ISLAND WEST,PUG2983,,,47.5887069,-122.3800092,0.88
9040,Alki,7/18/24,Thursday,1:44:00,High,,306,10.04,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.88
9041,Alki,7/18/24,Thursday,7:36:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG2984,,,47.5887069,-122.3800092,0.88
9042,Alki,7/18/24,Thursday,9:19:00,Low,,-39,-1.27,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.88
9043,Alki,7/18/24,Thursday,10:54:00, slack,0,,,HARBOR ISLAND WEST,PUG2985,,,47.5887069,-122.3800092,0.88
9044,Alki,7/18/24,Thursday,13:18:00, flood,0.2,,,HARBOR ISLAND WEST,PUG2986,,,47.5887069,-122.3800092,0.88
9045,Alki,7/18/24,Thursday,17:06:00, slack,0,,,HARBOR ISLAND WEST,PUG2987,,,47.5887069,-122.3800092,0.88
9046,Alki,7/18/24,Thursday,17:40:00,High,,328,10.76,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.88
9047,Alki,7/18/24,Thursday,19:48:00, ebb,-0.1,,,HARBOR ISLAND WEST,PUG2988,,,47.5887069,-122.3800092,0.88
9048,Alki,7/18/24,Thursday,21:18:00, slack,0,,,HARBOR ISLAND WEST,PUG2989,,,47.5887069,-122.3800092,0.88
9049,Alki,7/18/24,Thursday,22:22:00,Low,,262,8.58,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.88
9050,Alki,7/18/24,Thursday,23:06:00, flood,0.1,,,HARBOR ISLAND WEST,PUG2990,,,47.5887069,-122.3800092,0.88
9085,Alki,7/19/24,Friday,2:18:00, slack,0,,,HARBOR ISLAND WEST,PUG2991,,,47.5887069,-122.3800092,0.94
9086,Alki,7/19/24,Friday,2:31:00,High,,308,10.12,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.94
9087,Alki,7/19/24,Friday,8:24:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG2992,,,47.5887069,-122.3800092,0.94
9088,Alki,7/19/24,Friday,10:03:00,Low,,-63,-2.06,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.94
9089,Alki,7/19/24,Friday,11:36:00, slack,0,,,HARBOR ISLAND WEST,PUG2993,,,47.5887069,-122.3800092,0.94
9090,Alki,7/19/24,Friday,13:54:00, flood,0.2,,,HARBOR ISLAND WEST,PUG2994,,,47.5887069,-122.3800092,0.94
9091,Alki,7/19/24,Friday,17:12:00, slack,0,,,HARBOR ISLAND WEST,PUG2995,,,47.5887069,-122.3800092,0.94
9092,Alki,7/19/24,Friday,18:12:00,High,,342,11.23,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.94
9093,Alki,7/19/24,Friday,20:36:00, ebb,-0.1,,,HARBOR ISLAND WEST,PUG2996,,,47.5887069,-122.3800092,0.94
9094,Alki,7/19/24,Friday,22:12:00, slack,0,,,HARBOR ISLAND WEST,PUG2997,,,47.5887069,-122.3800092,0.94
9095,Alki,7/19/24,Friday,23:05:00,Low,,256,8.4,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.94
9096,Alki,7/19/24,Friday,23:54:00, flood,0.1,,,HARBOR ISLAND WEST,PUG2998,,,47.5887069,-122.3800092,0.94
9128,Alki,7/20/24,Saturday,3:18:00, slack,0,,,HARBOR ISLAND WEST,PUG2999,,,47.5887069,-122.3800092,0.98
9129,Alki,7/20/24,Saturday,3:20:00,High,,314,10.29,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.98
9130,Alki,7/20/24,Saturday,9:12:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3000,,,47.5887069,-122.3800092,0.98
9131,Alki,7/20/24,Saturday,10:47:00,Low,,-83,-2.71,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.98
9132,Alki,7/20/24,Saturday,12:24:00, slack,0,,,HARBOR ISLAND WEST,PUG3001,,,47.5887069,-122.3800092,0.98
9133,Alki,7/20/24,Saturday,14:30:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3002,,,47.5887069,-122.3800092,0.98
9134,Alki,7/20/24,Saturday,17:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3003,,,47.5887069,-122.3800092,0.98
9135,Alki,7/20/24,Saturday,18:43:00,High,,352,11.55,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.98
9136,Alki,7/20/24,Saturday,21:18:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG3004,,,47.5887069,-122.3800092,0.98
9137,Alki,7/20/24,Saturday,23:00:00, slack,0,,,HARBOR ISLAND WEST,PUG3005,,,47.5887069,-122.3800092,0.98
9138,Alki,7/20/24,Saturday,23:44:00,Low,,245,8.04,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.98
9173,Alki,7/21/24,Sunday,0:48:00, flood,0.1,,,HARBOR ISLAND WEST,PUG3006,,,47.5887069,-122.3800092,1
9174,Alki,7/21/24,Sunday,4:06:00, slack,0,,,HARBOR ISLAND WEST,PUG3007,,,47.5887069,-122.3800092,1
9175,Alki,7/21/24,Sunday,4:10:00,High,,319,10.47,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,1
9176,Alki,7/21/24,Sunday,10:00:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3008,,,47.5887069,-122.3800092,1
9177,Alki,7/21/24,Sunday,11:31:00,Low,,-95,-3.11,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,1
9178,Alki,7/21/24,Sunday,13:06:00, slack,0,,,HARBOR ISLAND WEST,PUG3009,,,47.5887069,-122.3800092,1
9179,Alki,7/21/24,Sunday,15:12:00, flood,0.3,,,HARBOR ISLAND WEST,PUG3010,,,47.5887069,-122.3800092,1
9180,Alki,7/21/24,Sunday,18:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3011,,,47.5887069,-122.3800092,1
9181,Alki,7/21/24,Sunday,19:13:00,High,,359,11.79,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,1
9182,Alki,7/21/24,Sunday,22:12:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG3012,,,47.5887069,-122.3800092,1
9219,Alki,7/22/24,Monday,0:00:00, slack,0,,,HARBOR ISLAND WEST,PUG3013,,,47.5887069,-122.3800092,0.99
9220,Alki,7/22/24,Monday,0:24:00,Low,,228,7.47,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.99
9221,Alki,7/22/24,Monday,1:48:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3014,,,47.5887069,-122.3800092,0.99
9222,Alki,7/22/24,Monday,4:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3015,,,47.5887069,-122.3800092,0.99
9223,Alki,7/22/24,Monday,5:02:00,High,,322,10.55,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.99
9224,Alki,7/22/24,Monday,10:48:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3016,,,47.5887069,-122.3800092,0.99
9225,Alki,7/22/24,Monday,12:15:00,Low,,-96,-3.15,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.99
9226,Alki,7/22/24,Monday,13:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3017,,,47.5887069,-122.3800092,0.99
9227,Alki,7/22/24,Monday,15:54:00, flood,0.3,,,HARBOR ISLAND WEST,PUG3018,,,47.5887069,-122.3800092,0.99
9228,Alki,7/22/24,Monday,19:44:00,High,,365,11.99,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.99
9229,Alki,7/22/24,Monday,19:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3019,,,47.5887069,-122.3800092,0.99
9230,Alki,7/22/24,Monday,23:12:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG3020,,,47.5887069,-122.3800092,0.99
9266,Alki,7/23/24,Tuesday,1:00:00, slack,0,,,HARBOR ISLAND WEST,PUG3021,,,47.5887069,-122.3800092,0.95
9267,Alki,7/23/24,Tuesday,1:08:00,Low,,204,6.68,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.95
9268,Alki,7/23/24,Tuesday,2:42:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3022,,,47.5887069,-122.3800092,0.95
9269,Alki,7/23/24,Tuesday,5:42:00, slack,0,,,HARBOR ISLAND WEST,PUG3023,,,47.5887069,-122.3800092,0.95
9270,Alki,7/23/24,Tuesday,5:57:00,High,,318,10.43,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.95
9271,Alki,7/23/24,Tuesday,11:42:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3024,,,47.5887069,-122.3800092,0.95
9272,Alki,7/23/24,Tuesday,12:59:00,Low,,-83,-2.73,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.95
9273,Alki,7/23/24,Tuesday,14:36:00, slack,0,,,HARBOR ISLAND WEST,PUG3025,,,47.5887069,-122.3800092,0.95
9274,Alki,7/23/24,Tuesday,16:48:00, flood,0.3,,,HARBOR ISLAND WEST,PUG3026,,,47.5887069,-122.3800092,0.95
9275,Alki,7/23/24,Tuesday,20:15:00,High,,371,12.18,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.95
9276,Alki,7/23/24,Tuesday,20:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3027,,,47.5887069,-122.3800092,0.95
9313,Alki,7/24/24,Wednesday,0:06:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG3028,,,47.5887069,-122.3800092,0.89
9314,Alki,7/24/24,Wednesday,1:55:00,Low,,173,5.68,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.89
9315,Alki,7/24/24,Wednesday,2:06:00, slack,0,,,HARBOR ISLAND WEST,PUG3029,,,47.5887069,-122.3800092,0.89
9316,Alki,7/24/24,Wednesday,3:36:00, flood,0.1,,,HARBOR ISLAND WEST,PUG3030,,,47.5887069,-122.3800092,0.89
9317,Alki,7/24/24,Wednesday,6:36:00, slack,0,,,HARBOR ISLAND WEST,PUG3031,,,47.5887069,-122.3800092,0.89
9318,Alki,7/24/24,Wednesday,6:56:00,High,,307,10.06,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.89
9319,Alki,7/24/24,Wednesday,12:24:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3032,,,47.5887069,-122.3800092,0.89
9320,Alki,7/24/24,Wednesday,13:43:00,Low,,-54,-1.78,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.89
9321,Alki,7/24/24,Wednesday,15:18:00, slack,0,,,HARBOR ISLAND WEST,PUG3033,,,47.5887069,-122.3800092,0.89
9322,Alki,7/24/24,Wednesday,17:36:00, flood,0.3,,,HARBOR ISLAND WEST,PUG3034,,,47.5887069,-122.3800092,0.89
9323,Alki,7/24/24,Wednesday,20:47:00,High,,376,12.33,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.89
9324,Alki,7/24/24,Wednesday,21:42:00, slack,0,,,HARBOR ISLAND WEST,PUG3035,,,47.5887069,-122.3800092,0.89
9358,Alki,7/25/24,Thursday,1:00:00, ebb,-0.3,,,HARBOR ISLAND WEST,PUG3036,,,47.5887069,-122.3800092,0.8
9359,Alki,7/25/24,Thursday,2:45:00,Low,,137,4.51,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.8
9360,Alki,7/25/24,Thursday,3:24:00, slack,0,,,HARBOR ISLAND WEST,PUG3037,,,47.5887069,-122.3800092,0.8
9361,Alki,7/25/24,Thursday,7:42:00, slack,0,,,HARBOR ISLAND WEST,PUG3038,,,47.5887069,-122.3800092,0.8
9362,Alki,7/25/24,Thursday,8:00:00,High,,290,9.51,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.8
9363,Alki,7/25/24,Thursday,13:12:00, ebb,-0.6,,,HARBOR ISLAND WEST,PUG3039,,,47.5887069,-122.3800092,0.8
9364,Alki,7/25/24,Thursday,14:28:00,Low,,-9,-0.31,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.8
9365,Alki,7/25/24,Thursday,15:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3040,,,47.5887069,-122.3800092,0.8
9366,Alki,7/25/24,Thursday,18:24:00, flood,0.3,,,HARBOR ISLAND WEST,PUG3041,,,47.5887069,-122.3800092,0.8
9367,Alki,7/25/24,Thursday,21:20:00,High,,378,12.39,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.8
9368,Alki,7/25/24,Thursday,22:12:00, slack,0,,,HARBOR ISLAND WEST,PUG3042,,,47.5887069,-122.3800092,0.8
9405,Alki,7/26/24,Friday,1:54:00, ebb,-0.4,,,HARBOR ISLAND WEST,PUG3043,,,47.5887069,-122.3800092,0.7
9406,Alki,7/26/24,Friday,3:38:00,Low,,99,3.25,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.7
9407,Alki,7/26/24,Friday,5:30:00, slack,0,,,HARBOR ISLAND WEST,PUG3044,,,47.5887069,-122.3800092,0.7
9408,Alki,7/26/24,Friday,9:11:00,High,,271,8.88,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.7
9409,Alki,7/26/24,Friday,9:24:00, slack,0,,,HARBOR ISLAND WEST,PUG3045,,,47.5887069,-122.3800092,0.7
9410,Alki,7/26/24,Friday,14:00:00, ebb,-0.4,,,HARBOR ISLAND WEST,PUG3046,,,47.5887069,-122.3800092,0.7
9411,Alki,7/26/24,Friday,15:14:00,Low,,48,1.56,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.7
9412,Alki,7/26/24,Friday,16:36:00, slack,0,,,HARBOR ISLAND WEST,PUG3047,,,47.5887069,-122.3800092,0.7
9413,Alki,7/26/24,Friday,18:54:00, flood,0.3,,,HARBOR ISLAND WEST,PUG3048,,,47.5887069,-122.3800092,0.7
9414,Alki,7/26/24,Friday,21:55:00,High,,376,12.32,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.7
9415,Alki,7/26/24,Friday,22:36:00, slack,0,,,HARBOR ISLAND WEST,PUG3049,,,47.5887069,-122.3800092,0.7
9452,Alki,7/27/24,Saturday,2:48:00, ebb,-0.5,,,HARBOR ISLAND WEST,PUG3050,,,47.5887069,-122.3800092,0.59
9453,Alki,7/27/24,Saturday,4:34:00,Low,,61,2.01,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.59
9454,Alki,7/27/24,Saturday,7:12:00, slack,0,,,HARBOR ISLAND WEST,PUG3051,,,47.5887069,-122.3800092,0.59
9455,Alki,7/27/24,Saturday,10:33:00,High,,256,8.4,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.59
9456,Alki,7/27/24,Saturday,11:30:00, slack,0,,,HARBOR ISLAND WEST,PUG3052,,,47.5887069,-122.3800092,0.59
9457,Alki,7/27/24,Saturday,15:00:00, ebb,-0.3,,,HARBOR ISLAND WEST,PUG3053,,,47.5887069,-122.3800092,0.59
9458,Alki,7/27/24,Saturday,16:04:00,Low,,111,3.63,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.59
9459,Alki,7/27/24,Saturday,17:12:00, slack,0,,,HARBOR ISLAND WEST,PUG3054,,,47.5887069,-122.3800092,0.59
9460,Alki,7/27/24,Saturday,19:30:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3055,,,47.5887069,-122.3800092,0.59
9461,Alki,7/27/24,Saturday,22:33:00,High,,369,12.09,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.59
9462,Alki,7/27/24,Saturday,23:00:00, slack,0,,,HARBOR ISLAND WEST,PUG3056,,,47.5887069,-122.3800092,0.59
9498,Alki,7/28/24,Sunday,3:54:00, ebb,-0.6,,,HARBOR ISLAND WEST,PUG3057,,,47.5887069,-122.3800092,0.48
9499,Alki,7/28/24,Sunday,5:32:00,Low,,27,0.89,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.48
9500,Alki,7/28/24,Sunday,8:12:00, slack,0,,,HARBOR ISLAND WEST,PUG3058,,,47.5887069,-122.3800092,0.48
9501,Alki,7/28/24,Sunday,10:18:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3059,,,47.5887069,-122.3800092,0.48
9502,Alki,7/28/24,Sunday,12:13:00,High,,255,8.35,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.48
9503,Alki,7/28/24,Sunday,13:42:00, slack,0,,,HARBOR ISLAND WEST,PUG3060,,,47.5887069,-122.3800092,0.48
9504,Alki,7/28/24,Sunday,16:00:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG3061,,,47.5887069,-122.3800092,0.48
9505,Alki,7/28/24,Sunday,17:05:00,Low,,171,5.62,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.48
9506,Alki,7/28/24,Sunday,17:48:00, slack,0,,,HARBOR ISLAND WEST,PUG3062,,,47.5887069,-122.3800092,0.48
9507,Alki,7/28/24,Sunday,20:18:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3063,,,47.5887069,-122.3800092,0.48
9508,Alki,7/28/24,Sunday,23:15:00,High,,357,11.7,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.48
9509,Alki,7/28/24,Sunday,23:30:00, slack,0,,,HARBOR ISLAND WEST,PUG3064,,,47.5887069,-122.3800092,0.48
9546,Alki,7/29/24,Monday,4:48:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3065,,,47.5887069,-122.3800092,0.37
9547,Alki,7/29/24,Monday,6:32:00,Low,,-2,-0.05,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.37
9548,Alki,7/29/24,Monday,9:00:00, slack,0,,,HARBOR ISLAND WEST,PUG3066,,,47.5887069,-122.3800092,0.37
9549,Alki,7/29/24,Monday,11:06:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3067,,,47.5887069,-122.3800092,0.37
9550,Alki,7/29/24,Monday,14:10:00,High,,273,8.96,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.37
9551,Alki,7/29/24,Monday,15:30:00, slack,0,,,HARBOR ISLAND WEST,PUG3068,,,47.5887069,-122.3800092,0.37
9552,Alki,7/29/24,Monday,17:00:00, ebb,-0.1,,,HARBOR ISLAND WEST,PUG3069,,,47.5887069,-122.3800092,0.37
9553,Alki,7/29/24,Monday,18:26:00,Low,,219,7.19,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.37
9554,Alki,7/29/24,Monday,18:36:00, slack,0,,,HARBOR ISLAND WEST,PUG3070,,,47.5887069,-122.3800092,0.37
9555,Alki,7/29/24,Monday,21:18:00, flood,0.1,,,HARBOR ISLAND WEST,PUG3071,,,47.5887069,-122.3800092,0.37
9588,Alki,7/30/24,Tuesday,0:00:00, slack,0,,,HARBOR ISLAND WEST,PUG3072,,,47.5887069,-122.3800092,0.26
9589,Alki,7/30/24,Tuesday,0:02:00,High,,342,11.22,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.26
9590,Alki,7/30/24,Tuesday,5:42:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3073,,,47.5887069,-122.3800092,0.26
9591,Alki,7/30/24,Tuesday,7:31:00,Low,,-24,-0.79,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.26
9592,Alki,7/30/24,Tuesday,9:42:00, slack,0,,,HARBOR ISLAND WEST,PUG3074,,,47.5887069,-122.3800092,0.26
9593,Alki,7/30/24,Tuesday,11:48:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3075,,,47.5887069,-122.3800092,0.26
9594,Alki,7/30/24,Tuesday,15:44:00,High,,304,9.98,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.26
9595,Alki,7/30/24,Tuesday,16:36:00, slack,0,,,HARBOR ISLAND WEST,PUG3076,,,47.5887069,-122.3800092,0.26
9596,Alki,7/30/24,Tuesday,19:36:00, slack,0,,,HARBOR ISLAND WEST,PUG3077,,,47.5887069,-122.3800092,0.26
9597,Alki,7/30/24,Tuesday,20:08:00,Low,,243,7.97,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.26
9598,Alki,7/30/24,Tuesday,22:18:00, flood,0.1,,,HARBOR ISLAND WEST,PUG3078,,,47.5887069,-122.3800092,0.26
9633,Alki,7/31/24,Wednesday,0:42:00, slack,0,,,HARBOR ISLAND WEST,PUG3079,,,47.5887069,-122.3800092,0.18
9634,Alki,7/31/24,Wednesday,0:57:00,High,,327,10.74,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.18
9635,Alki,7/31/24,Wednesday,6:42:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3080,,,47.5887069,-122.3800092,0.18
9636,Alki,7/31/24,Wednesday,8:28:00,Low,,-40,-1.32,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.18
9637,Alki,7/31/24,Wednesday,10:24:00, slack,0,,,HARBOR ISLAND WEST,PUG3081,,,47.5887069,-122.3800092,0.18
9638,Alki,7/31/24,Wednesday,12:24:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3082,,,47.5887069,-122.3800092,0.18
9639,Alki,7/31/24,Wednesday,16:46:00,High,,331,10.86,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.18
9640,Alki,7/31/24,Wednesday,17:24:00, slack,0,,,HARBOR ISLAND WEST,PUG3083,,,47.5887069,-122.3800092,0.18
9641,Alki,7/31/24,Wednesday,19:00:00, ebb,-0.1,,,HARBOR ISLAND WEST,PUG3084,,,47.5887069,-122.3800092,0.18
9642,Alki,7/31/24,Wednesday,20:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3085,,,47.5887069,-122.3800092,0.18
9643,Alki,7/31/24,Wednesday,21:35:00,Low,,243,7.98,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.18
9678,Alki,8/1/24,Thursday,1:42:00, slack,0,,,HARBOR ISLAND WEST,PUG3086,,,47.5887069,-122.3800092,0.1
9679,Alki,8/1/24,Thursday,1:56:00,High,,316,10.37,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.1
9680,Alki,8/1/24,Thursday,7:36:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3087,,,47.5887069,-122.3800092,0.1
9681,Alki,8/1/24,Thursday,9:20:00,Low,,-51,-1.66,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.1
9682,Alki,8/1/24,Thursday,11:06:00, slack,0,,,HARBOR ISLAND WEST,PUG3088,,,47.5887069,-122.3800092,0.1
9683,Alki,8/1/24,Thursday,13:12:00, flood,0.2,,,HARBOR ISLAND WEST,PUG3089,,,47.5887069,-122.3800092,0.1
9684,Alki,8/1/24,Thursday,17:33:00,High,,347,11.4,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.1
9685,Alki,8/1/24,Thursday,17:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3090,,,47.5887069,-122.3800092,0.1
9686,Alki,8/1/24,Thursday,19:54:00, ebb,-0.1,,,HARBOR ISLAND WEST,PUG3091,,,47.5887069,-122.3800092,0.1
9687,Alki,8/1/24,Thursday,21:54:00, slack,0,,,HARBOR ISLAND WEST,PUG3092,,,47.5887069,-122.3800092,0.1
9688,Alki,8/1/24,Thursday,22:38:00,Low,,233,7.63,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.1
9725,Alki,8/2/24,Friday,2:54:00,High,,309,10.15,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.05
9726,Alki,8/2/24,Friday,3:06:00, slack,0,,,HARBOR ISLAND WEST,PUG3093,,,47.5887069,-122.3800092,0.05
9727,Alki,8/2/24,Friday,8:24:00, ebb,-0.7,,,HARBOR ISLAND WEST,PUG3094,,,47.5887069,-122.3800092,0.05
9728,Alki,8/2/24,Friday,10:08:00,Low,,-55,-1.8,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.05
